FVC file = erie.fvc, Simulation Execution: 16/02/2020 17:46:45
Points file ../Geo/output_points.csv writing results to ../Output/erie_POINTS_depth_surf_temp.csv,X,Y,ID,CellID,CellX,CellY
, 0.61354300000000E+06, 0.47104830000000E+07,           0,        2433, 0.61391700311457E+06, 0.47120507290971E+07
, 0.60710800000000E+06, 0.47260980000000E+07, -1610612736,        2452, 0.60627680835885E+06, 0.47255136291140E+07
, 0.59089400000000E+06, 0.47076630000000E+07,           0,        3103, 0.59122406487696E+06, 0.47066713411729E+07
, 0.59878600000000E+06, 0.46967200000000E+07, -1610612736,        3099, 0.59797261937107E+06, 0.46971069709183E+07
, 0.48313700000000E+06, 0.46975590000000E+07,  1229062151,        8009, 0.48346997334847E+06, 0.46970481214677E+07
, 0.49121500000000E+06, 0.46779280000000E+07,  1850290006,        7772, 0.49055985493707E+06, 0.46786218225895E+07
, 0.49902100000000E+06, 0.46588990000000E+07,   796161392,        7658, 0.49815114731328E+06, 0.46592417576372E+07
, 0.46034500000000E+06, 0.46426700000000E+07,  1194274350,        9553, 0.46092709824217E+06, 0.46421743548882E+07
, 0.45246300000000E+06, 0.46622790000000E+07,  1865379685,        9841, 0.45141889395604E+06, 0.46622978215470E+07
, 0.44464800000000E+06, 0.46812680000000E+07,  1970304117,       10125, 0.44421164431889E+06, 0.46809697969770E+07
, 0.41365800000000E+06, 0.46465260000000E+07,  1869635444,       12002, 0.41262136847688E+06, 0.46469857611131E+07
, 0.42146500000000E+06, 0.46268000000000E+07,  1937010281,       11980, 0.42165725362159E+06, 0.46272571113894E+07
, 0.43728500000000E+06, 0.46475550000000E+07,  1987273518,       10816, 0.43717803321365E+06, 0.46469408607677E+07
, 0.47940200000000E+06, 0.46627410000000E+07,  1850289920,        8404, 0.48012122380624E+06, 0.46633495227537E+07
, 0.37550800000000E+06, 0.46157280000000E+07,   796161392,       15034, 0.37535130802764E+06, 0.46151810047556E+07
, 0.32116200000000E+06, 0.46217000000000E+07,  1110388270,       19934, 0.32045061355965E+06, 0.46214831541357E+07
, 0.31772900000000E+06, 0.46400970000000E+07,           0,       19992, 0.31731224338002E+06, 0.46399519295613E+07
, 0.33047800000000E+06, 0.46458590000000E+07, -1610612736,       19423, 0.33012404612120E+06, 0.46452222660623E+07
, 0.34089600000000E+06, 0.46338980000000E+07,           0,       18902, 0.34063120607005E+06, 0.46333419641187E+07
, 0.36021600000000E+06, 0.46455780000000E+07, -1610612736,       16857, 0.36046902069314E+06, 0.46455412638481E+07
Points file ../Geo/output_points.csv writing results to ../Output/erie_POINTS_depth_surf_TOT_TN.csv,X,Y,ID,CellID,CellX,CellY
, 0.61354300000000E+06, 0.47104830000000E+07,           0,        2433, 0.61391700311457E+06, 0.47120507290971E+07
, 0.60710800000000E+06, 0.47260980000000E+07, -1610612736,        2452, 0.60627680835885E+06, 0.47255136291140E+07
, 0.59089400000000E+06, 0.47076630000000E+07,           0,        3103, 0.59122406487696E+06, 0.47066713411729E+07
, 0.59878600000000E+06, 0.46967200000000E+07, -1610612736,        3099, 0.59797261937107E+06, 0.46971069709183E+07
, 0.48313700000000E+06, 0.46975590000000E+07,  1505951793,        8009, 0.48346997334847E+06, 0.46970481214677E+07
, 0.49121500000000E+06, 0.46779280000000E+07,       32725,        7772, 0.49055985493707E+06, 0.46786218225895E+07
, 0.49902100000000E+06, 0.46588990000000E+07,           0,        7658, 0.49815114731328E+06, 0.46592417576372E+07
, 0.46034500000000E+06, 0.46426700000000E+07,           0,        9553, 0.46092709824217E+06, 0.46421743548882E+07
, 0.45246300000000E+06, 0.46622790000000E+07,           0,        9841, 0.45141889395604E+06, 0.46622978215470E+07
, 0.44464800000000E+06, 0.46812680000000E+07,           0,       10125, 0.44421164431889E+06, 0.46809697969770E+07
, 0.41365800000000E+06, 0.46465260000000E+07,           0,       12002, 0.41262136847688E+06, 0.46469857611131E+07
, 0.42146500000000E+06, 0.46268000000000E+07,           0,       11980, 0.42165725362159E+06, 0.46272571113894E+07
, 0.43728500000000E+06, 0.46475550000000E+07,           0,       10816, 0.43717803321365E+06, 0.46469408607677E+07
, 0.47940200000000E+06, 0.46627410000000E+07,           0,        8404, 0.48012122380624E+06, 0.46633495227537E+07
, 0.37550800000000E+06, 0.46157280000000E+07,           0,       15034, 0.37535130802764E+06, 0.46151810047556E+07
, 0.32116200000000E+06, 0.46217000000000E+07,           0,       19934, 0.32045061355965E+06, 0.46214831541357E+07
, 0.31772900000000E+06, 0.46400970000000E+07,           0,       19992, 0.31731224338002E+06, 0.46399519295613E+07
, 0.33047800000000E+06, 0.46458590000000E+07,           0,       19423, 0.33012404612120E+06, 0.46452222660623E+07
, 0.34089600000000E+06, 0.46338980000000E+07,           0,       18902, 0.34063120607005E+06, 0.46333419641187E+07
, 0.36021600000000E+06, 0.46455780000000E+07,           0,       16857, 0.36046902069314E+06, 0.46455412638481E+07
Points file ../Geo/output_points.csv writing results to ../Output/erie_POINTS_depth_surf_PHY_EDIAT_fPho.csv,X,Y,ID,CellID,CellX,CellY
, 0.61354300000000E+06, 0.47104830000000E+07,           0,        2433, 0.61391700311457E+06, 0.47120507290971E+07
, 0.60710800000000E+06, 0.47260980000000E+07, -1610612736,        2452, 0.60627680835885E+06, 0.47255136291140E+07
, 0.59089400000000E+06, 0.47076630000000E+07,           0,        3103, 0.59122406487696E+06, 0.47066713411729E+07
, 0.59878600000000E+06, 0.46967200000000E+07, -1610612736,        3099, 0.59797261937107E+06, 0.46971069709183E+07
, 0.48313700000000E+06, 0.46975590000000E+07,   538968070,        8009, 0.48346997334847E+06, 0.46970481214677E+07
, 0.49121500000000E+06, 0.46779280000000E+07,   538976288,        7772, 0.49055985493707E+06, 0.46786218225895E+07
, 0.49902100000000E+06, 0.46588990000000E+07,   538976288,        7658, 0.49815114731328E+06, 0.46592417576372E+07
, 0.46034500000000E+06, 0.46426700000000E+07,   538976288,        9553, 0.46092709824217E+06, 0.46421743548882E+07
, 0.45246300000000E+06, 0.46622790000000E+07,   538976288,        9841, 0.45141889395604E+06, 0.46622978215470E+07
, 0.44464800000000E+06, 0.46812680000000E+07,   538976288,       10125, 0.44421164431889E+06, 0.46809697969770E+07
, 0.41365800000000E+06, 0.46465260000000E+07,   538976288,       12002, 0.41262136847688E+06, 0.46469857611131E+07
, 0.42146500000000E+06, 0.46268000000000E+07,   538976288,       11980, 0.42165725362159E+06, 0.46272571113894E+07
, 0.43728500000000E+06, 0.46475550000000E+07,   538976288,       10816, 0.43717803321365E+06, 0.46469408607677E+07
, 0.47940200000000E+06, 0.46627410000000E+07,   538976288,        8404, 0.48012122380624E+06, 0.46633495227537E+07
, 0.37550800000000E+06, 0.46157280000000E+07,   538976288,       15034, 0.37535130802764E+06, 0.46151810047556E+07
, 0.32116200000000E+06, 0.46217000000000E+07,   538976288,       19934, 0.32045061355965E+06, 0.46214831541357E+07
, 0.31772900000000E+06, 0.46400970000000E+07,   538976288,       19992, 0.31731224338002E+06, 0.46399519295613E+07
, 0.33047800000000E+06, 0.46458590000000E+07,   538976288,       19423, 0.33012404612120E+06, 0.46452222660623E+07
, 0.34089600000000E+06, 0.46338980000000E+07,   538976288,       18902, 0.34063120607005E+06, 0.46333419641187E+07
, 0.36021600000000E+06, 0.46455780000000E+07,   538976288,       16857, 0.36046902069314E+06, 0.46455412638481E+07
Points file ../Geo/output_points.csv writing results to ../Output/erie_POINTS_bot_tbiv.csv,X,Y,ID,CellID,CellX,CellY
, 0.61354300000000E+06, 0.47104830000000E+07,           0,        2433, 0.61391700311457E+06, 0.47120507290971E+07
, 0.60710800000000E+06, 0.47260980000000E+07, -1610612736,        2452, 0.60627680835885E+06, 0.47255136291140E+07
, 0.59089400000000E+06, 0.47076630000000E+07,           0,        3103, 0.59122406487696E+06, 0.47066713411729E+07
, 0.59878600000000E+06, 0.46967200000000E+07, -1610612736,        3099, 0.59797261937107E+06, 0.46971069709183E+07
, 0.48313700000000E+06, 0.46975590000000E+07,          11,        8009, 0.48346997334847E+06, 0.46970481214677E+07
, 0.49121500000000E+06, 0.46779280000000E+07,           0,        7772, 0.49055985493707E+06, 0.46786218225895E+07
, 0.49902100000000E+06, 0.46588990000000E+07,           0,        7658, 0.49815114731328E+06, 0.46592417576372E+07
, 0.46034500000000E+06, 0.46426700000000E+07,           0,        9553, 0.46092709824217E+06, 0.46421743548882E+07
, 0.45246300000000E+06, 0.46622790000000E+07,           0,        9841, 0.45141889395604E+06, 0.46622978215470E+07
, 0.44464800000000E+06, 0.46812680000000E+07,           0,       10125, 0.44421164431889E+06, 0.46809697969770E+07
, 0.41365800000000E+06, 0.46465260000000E+07,           0,       12002, 0.41262136847688E+06, 0.46469857611131E+07
, 0.42146500000000E+06, 0.46268000000000E+07,           0,       11980, 0.42165725362159E+06, 0.46272571113894E+07
, 0.43728500000000E+06, 0.46475550000000E+07,           0,       10816, 0.43717803321365E+06, 0.46469408607677E+07
, 0.47940200000000E+06, 0.46627410000000E+07,           0,        8404, 0.48012122380624E+06, 0.46633495227537E+07
, 0.37550800000000E+06, 0.46157280000000E+07,           0,       15034, 0.37535130802764E+06, 0.46151810047556E+07
, 0.32116200000000E+06, 0.46217000000000E+07,           0,       19934, 0.32045061355965E+06, 0.46214831541357E+07
, 0.31772900000000E+06, 0.46400970000000E+07,           0,       19992, 0.31731224338002E+06, 0.46399519295613E+07
, 0.33047800000000E+06, 0.46458590000000E+07,           0,       19423, 0.33012404612120E+06, 0.46452222660623E+07
, 0.34089600000000E+06, 0.46338980000000E+07,           0,       18902, 0.34063120607005E+06, 0.46333419641187E+07
, 0.36021600000000E+06, 0.46455780000000E+07,           0,       16857, 0.36046902069314E+06, 0.46455412638481E+07
